id,name,type,location,price,amenities
1,Orchid Villas,Villa,Tukkuguda,14828182,"Home Automation, Parking, Gym, CCTV, Power Backup, Security"
2,Lakeview Residency,Apartment,Beeramguda,8321982,"Lift, Swimming Pool, Security"
3,Golden Villas,Villa,Tukkuguda,14733921,"CCTV, Home Automation, Power Backup, Solar Water Heater"
4,Skyline Plaza,Commercial,Kondapur,13872565,"Home Automation, Power Backup, Garden, CCTV, Clubhouse"
5,Golden Flats,Apartment,Gachibowli,12609360,"Security, Lift, Clubhouse"
6,Sunshine Square,Commercial,Madhapur,19420096,"Security, Clubhouse, Solar Water Heater, Gym"
7,Skyline Square,Commercial,Kokapet,12675528,"Lift, CCTV, Garden, Security, Clubhouse, Solar Water Heater"
8,Sunshine Square,Commercial,Tukkuguda,17973204,"Home Automation, Lift, Swimming Pool"
9,Green Villas,Villa,Patancheru,13839054,"Lift, Power Backup, Swimming Pool, Gym"
10,Maple Plaza,Commercial,Kokapet,13511168,"Security, Swimming Pool, Solar Water Heater, Children's Park, Home Automation"
11,Palm Towers,Apartment,Madhapur,7081520,"CCTV, Power Backup, Children's Park, Home Automation, Garden"
12,Golden Estates,Villa,Bachupally,19031285,"Children's Park, Solar Water Heater, Gym"
13,Maple Towers,Apartment,Madhapur,8244229,"Children's Park, Parking, Power Backup, Security, Lift, Clubhouse"
14,Green Heights,Apartment,Madhapur,10650035,"Solar Water Heater, Lift, Garden, Clubhouse"
15,Green Centre,Commercial,Tukkuguda,11745504,"Gym, Children's Park, Garden, Solar Water Heater, CCTV"
16,Orchid Flats,Apartment,Tukkuguda,6496077,"Clubhouse, Gym, Solar Water Heater, Swimming Pool, Children's Park"
17,Maple Flats,Apartment,Beeramguda,6207198,"Gym, Parking, Swimming Pool, Security"
18,Maple Enclave,Villa,Beeramguda,15502950,"Home Automation, Clubhouse, Security, Gym, Power Backup, Children's Park"
19,Green Residency,Apartment,Miyapur,7434080,"Solar Water Heater, Clubhouse, Gym"
20,Golden Flats,Apartment,Jubilee Hills,11351327,"Home Automation, Garden, Lift"
21,Elite Square,Commercial,Patancheru,25763780,"Home Automation, Security, Gym, Solar Water Heater, Parking, Lift"
22,Elite Centre,Commercial,Adibatla,15253506,"CCTV, Swimming Pool, Parking, Lift"
23,Palm Flats,Apartment,Patancheru,5767828,"Garden, Solar Water Heater, Power Backup, Parking"
24,Skyline Residency,Apartment,Patancheru,4833864,"Home Automation, Lift, Security"
25,Orchid Flats,Apartment,Jubilee Hills,16709307,"Lift, Power Backup, Home Automation, Garden"
26,Golden Centre,Commercial,Miyapur,18317450,"Clubhouse, Security, Lift"
27,Meadow Estates,Villa,Gachibowli,27126260,"CCTV, Clubhouse, Lift, Garden"
28,Sunshine Square,Commercial,Madhapur,39030770,"Solar Water Heater, Power Backup, CCTV"
29,Elite Residency,Apartment,Beeramguda,8269590,"Parking, Power Backup, Lift, CCTV"
30,Orchid Residency,Apartment,Madhapur,6192350,"Security, CCTV, Clubhouse, Solar Water Heater, Children's Park, Parking"
31,Meadow Towers,Apartment,Madhapur,6732286,"Parking, Gym, Solar Water Heater, Garden, Clubhouse, Power Backup"
32,Elite Villas,Villa,Kokapet,45008968,"Home Automation, Solar Water Heater, Garden, Parking"
33,Meadow Heights,Apartment,HITEC City,12758604,"CCTV, Garden, Swimming Pool, Children's Park, Clubhouse"
34,Orchid Villas,Villa,Jubilee Hills,25566783,"Garden, Swimming Pool, CCTV, Security, Home Automation"
35,Golden Gardens,Villa,Adibatla,15840060,"CCTV, Swimming Pool, Parking, Home Automation, Garden, Gym"
36,Green Estates,Villa,Kokapet,30510090,"Home Automation, Garden, Swimming Pool, Clubhouse"
37,Golden Residency,Apartment,Gachibowli,12627322,"Gym, Swimming Pool, Children's Park, Clubhouse"
38,Maple Arcade,Commercial,Tukkuguda,19294940,"Gym, Solar Water Heater, Security, Parking"
39,Sunshine Villas,Villa,Kondapur,23315182,"Children's Park, Power Backup, Home Automation, Parking, Security, Gym"
40,Skyline Square,Commercial,Bachupally,18750984,"Clubhouse, Garden, Parking, Power Backup, Security, Children's Park"
41,Skyline Flats,Apartment,Gachibowli,13639626,"Children's Park, Lift, Solar Water Heater, Power Backup"
42,Elite Heights,Apartment,Tukkuguda,7643115,"Swimming Pool, Gym, Lift, Home Automation, Children's Park"
43,Lakeview Plaza,Commercial,Kondapur,20113795,"Security, Clubhouse, Lift, Solar Water Heater, Home Automation"
44,Lakeview Enclave,Villa,Gachibowli,21573282,"Parking, Swimming Pool, Clubhouse, Gym, Lift, Security"
45,Golden Heights,Apartment,Jubilee Hills,10543390,"Swimming Pool, Gym, CCTV"
46,Orchid Arcade,Commercial,Kondapur,22119414,"Clubhouse, CCTV, Security, Power Backup, Lift, Children's Park"
47,Sunshine Estates,Villa,Madhapur,11710896,"Children's Park, Gym, Swimming Pool, Home Automation, Solar Water Heater"
48,Golden Square,Commercial,Narsingi,11294688,"Clubhouse, Lift, CCTV, Gym"
49,Golden Villas,Villa,Bachupally,18232550,"Gym, Power Backup, Parking, Clubhouse"
50,Meadow Enclave,Villa,Kokapet,44562199,"Power Backup, Home Automation, CCTV, Garden, Lift"
51,Meadow Centre,Commercial,Patancheru,21985002,"Clubhouse, Swimming Pool, Lift"
52,Orchid Towers,Apartment,Beeramguda,5423037,"Children's Park, Parking, Gym, Security, Garden"
53,Elite Villas,Villa,Kokapet,26420160,"Solar Water Heater, Clubhouse, Security, Lift"
54,Palm Gardens,Villa,Patancheru,14874112,"Parking, CCTV, Home Automation, Power Backup"
55,Meadow Gardens,Villa,Kokapet,27266736,"Children's Park, Security, Swimming Pool, Power Backup"
56,Maple Heights,Apartment,Beeramguda,5034146,"Solar Water Heater, Clubhouse, Children's Park, CCTV"
57,Palm Residency,Apartment,Beeramguda,5318670,"Power Backup, Children's Park, Garden, Swimming Pool, Solar Water Heater"
58,Maple Towers,Apartment,HITEC City,14729746,"Home Automation, Garden, Power Backup, Lift, Gym, Parking"
59,Green Villas,Villa,Narsingi,22230398,"Gym, CCTV, Home Automation, Lift"
60,Palm Gardens,Villa,Adibatla,11625302,"Home Automation, Garden, Power Backup, CCTV, Solar Water Heater, Lift"
61,Maple Enclave,Villa,Kokapet,24850680,"Lift, Home Automation, CCTV, Security, Parking"
62,Sunshine Estates,Villa,Gachibowli,30830382,"Clubhouse, Solar Water Heater, Children's Park, Gym, Security, Parking"
63,Orchid Square,Commercial,Kondapur,9627416,"Children's Park, Garden, Home Automation, Security, Parking"
64,Orchid Estates,Villa,Beeramguda,11477943,"Garden, Home Automation, Clubhouse"
65,Elite Heights,Apartment,HITEC City,9497874,"Lift, Parking, Solar Water Heater, Clubhouse, CCTV, Swimming Pool"
66,Maple Plaza,Commercial,Kokapet,13603349,"Home Automation, CCTV, Security, Lift"
67,Palm Villas,Villa,Kokapet,44871057,"Garden, Solar Water Heater, Home Automation"
68,Palm Arcade,Commercial,Patancheru,17526300,"Garden, CCTV, Swimming Pool, Home Automation"
69,Palm Estates,Villa,Kokapet,35453012,"Clubhouse, Security, Solar Water Heater, CCTV, Swimming Pool"
70,Sunshine Flats,Apartment,Beeramguda,8116486,"Clubhouse, Parking, Children's Park, Garden"
71,Green Plaza,Commercial,Adibatla,20837781,"Gym, Swimming Pool, Solar Water Heater"
72,Sunshine Residency,Apartment,Narsingi,5832522,"Lift, Parking, Solar Water Heater, Home Automation, CCTV, Children's Park"
73,Golden Plaza,Commercial,Miyapur,28072416,"Lift, Solar Water Heater, Garden, Children's Park, Gym, Parking"
74,Lakeview Enclave,Villa,Gachibowli,21936096,"Home Automation, Children's Park, Swimming Pool, Power Backup"
75,Orchid Villas,Villa,Beeramguda,9655200,"Solar Water Heater, CCTV, Parking, Garden, Clubhouse, Swimming Pool"
76,Lakeview Plaza,Commercial,Adibatla,23589384,"Garden, Clubhouse, Power Backup, Swimming Pool, Solar Water Heater"
77,Green Heights,Apartment,Jubilee Hills,16347731,"Solar Water Heater, Home Automation, CCTV, Gym, Parking"
78,Palm Towers,Apartment,Madhapur,10830879,"Solar Water Heater, Lift, Garden, Power Backup"
79,Green Villas,Villa,Patancheru,15293727,"CCTV, Swimming Pool, Solar Water Heater, Lift, Parking, Garden"
80,Maple Heights,Apartment,Adibatla,5386542,"Gym, Clubhouse, Garden, Swimming Pool"
81,Golden Estates,Villa,Gachibowli,40498360,"Power Backup, Garden, Lift, Parking"
82,Maple Centre,Commercial,HITEC City,57506234,"Clubhouse, Gym, Solar Water Heater, Garden, Lift"
83,Meadow Gardens,Villa,HITEC City,25389150,"Garden, Clubhouse, Parking, Swimming Pool, Gym, Lift"
84,Sunshine Gardens,Villa,Jubilee Hills,31834880,"Gym, Home Automation, Parking"
85,Lakeview Heights,Apartment,Beeramguda,5146478,"Security, Clubhouse, Gym"
86,Sunshine Estates,Villa,Gachibowli,29675160,"Security, Swimming Pool, Solar Water Heater, Home Automation, Lift"
87,Elite Gardens,Villa,Bachupally,16742043,"Parking, Clubhouse, Garden, Swimming Pool, Lift"
88,Palm Estates,Villa,Kondapur,26186425,"Children's Park, Home Automation, Power Backup, CCTV, Security"
89,Palm Gardens,Villa,Narsingi,21888120,"Swimming Pool, Garden, Solar Water Heater, Home Automation, CCTV"
90,Palm Residency,Apartment,Kokapet,10634878,"Parking, Power Backup, Lift, CCTV"
91,Green Estates,Villa,Kokapet,37592925,"Garden, Parking, CCTV, Lift"
92,Elite Towers,Apartment,Jubilee Hills,12917215,"Power Backup, Garden, Gym"
93,Skyline Enclave,Villa,Miyapur,18493980,"Parking, Power Backup, Garden"
94,Sunshine Towers,Apartment,Madhapur,7607749,"CCTV, Gym, Garden"
95,Palm Villas,Villa,Patancheru,16944876,"Gym, Parking, Security, CCTV, Children's Park, Swimming Pool"
96,Green Enclave,Villa,Madhapur,24106888,"CCTV, Home Automation, Gym"
97,Palm Estates,Villa,Tukkuguda,15735003,"Solar Water Heater, Gym, Parking, Lift, Children's Park, Home Automation"
98,Meadow Flats,Apartment,Kokapet,11173685,"Swimming Pool, CCTV, Clubhouse"
99,Maple Plaza,Commercial,Tukkuguda,8675908,"Garden, Clubhouse, Gym, Home Automation, Children's Park"
100,Maple Heights,Apartment,Jubilee Hills,14370174,"Parking, Solar Water Heater, Swimming Pool, Power Backup"
101,Palm Square,Commercial,Tukkuguda,18681642,"Security, Gym, Clubhouse, Swimming Pool, Lift, CCTV"
102,Golden Square,Commercial,Miyapur,18503791,"Solar Water Heater, Security, Children's Park"
103,Sunshine Villas,Villa,Bachupally,17305334,"Security, Swimming Pool, Children's Park, Garden, CCTV"
104,Sunshine Heights,Apartment,Beeramguda,5483900,"Garden, Home Automation, Gym, Children's Park"
105,Elite Square,Commercial,Adibatla,17376246,"Security, Home Automation, Garden, Swimming Pool, CCTV"
106,Golden Flats,Apartment,Gachibowli,15970603,"Lift, Garden, Security, Swimming Pool, Solar Water Heater, Home Automation"
107,Palm Heights,Apartment,Miyapur,8172304,"Security, Home Automation, Solar Water Heater, Swimming Pool, CCTV"
108,Sunshine Estates,Villa,Patancheru,12563649,"Clubhouse, Garden, Solar Water Heater, Swimming Pool, Security, CCTV"
109,Lakeview Gardens,Villa,Kokapet,39842106,"Garden, Lift, Children's Park, Power Backup"
110,Sunshine Heights,Apartment,HITEC City,11479250,"Garden, Solar Water Heater, Clubhouse, CCTV, Security, Gym"
111,Lakeview Plaza,Commercial,Bachupally,20567034,"Gym, Solar Water Heater, Power Backup, CCTV, Clubhouse, Swimming Pool"
112,Golden Towers,Apartment,Tukkuguda,4153428,"Gym, Parking, Garden"
113,Skyline Arcade,Commercial,Adibatla,27252520,"Swimming Pool, Parking, Garden, Lift, Security, Solar Water Heater"
114,Sunshine Flats,Apartment,Tukkuguda,5629848,"CCTV, Garden, Home Automation"
115,Elite Estates,Villa,Beeramguda,13161366,"Clubhouse, Parking, Swimming Pool, Home Automation, Children's Park, Garden"
116,Maple Enclave,Villa,Patancheru,12888528,"Children's Park, Power Backup, Garden, Gym"
117,Green Flats,Apartment,Jubilee Hills,15884154,"Lift, CCTV, Parking, Security, Swimming Pool"
118,Sunshine Heights,Apartment,Beeramguda,7098784,"Power Backup, Home Automation, Gym, Swimming Pool, Security"
119,Maple Square,Commercial,Madhapur,10477988,"Gym, Swimming Pool, CCTV"
120,Maple Plaza,Commercial,Gachibowli,22838400,"Clubhouse, Power Backup, Swimming Pool, Security, Gym, Garden"
121,Palm Heights,Apartment,Gachibowli,10002370,"Clubhouse, CCTV, Children's Park, Security"
122,Maple Square,Commercial,Tukkuguda,10966054,"Parking, Lift, Children's Park, Power Backup"
123,Palm Flats,Apartment,Gachibowli,12350424,"Security, Children's Park, Garden, CCTV"
124,Golden Villas,Villa,HITEC City,24696148,"Swimming Pool, Power Backup, Security"
125,Lakeview Flats,Apartment,Tukkuguda,5358015,"CCTV, Garden, Gym"
126,Green Villas,Villa,Narsingi,15313280,"Gym, CCTV, Home Automation, Security, Parking, Solar Water Heater"
127,Maple Square,Commercial,Beeramguda,24756734,"Security, Children's Park, Gym, Parking"
128,Palm Centre,Commercial,Beeramguda,9923162,"Parking, Solar Water Heater, Security, CCTV, Lift"
129,Elite Heights,Apartment,Jubilee Hills,15838944,"CCTV, Security, Children's Park"
130,Meadow Villas,Villa,HITEC City,21134566,"Power Backup, Home Automation, Security"
131,Golden Residency,Apartment,Beeramguda,6106772,"Lift, Garden, Solar Water Heater, Parking, Clubhouse"
132,Palm Arcade,Commercial,Bachupally,36319140,"Clubhouse, Swimming Pool, Children's Park, CCTV"
133,Meadow Square,Commercial,Narsingi,5849808,"CCTV, Garden, Clubhouse"
134,Maple Villas,Villa,Miyapur,23686530,"Power Backup, Lift, CCTV, Parking"
135,Palm Villas,Villa,Kokapet,40364714,"CCTV, Parking, Solar Water Heater, Home Automation, Lift, Power Backup"
136,Maple Flats,Apartment,HITEC City,16588455,"CCTV, Home Automation, Gym, Security, Swimming Pool, Parking"
137,Skyline Heights,Apartment,Beeramguda,6310934,"Swimming Pool, Gym, CCTV"
138,Skyline Arcade,Commercial,Patancheru,16991622,"Lift, Children's Park, Power Backup, Solar Water Heater"
139,Sunshine Flats,Apartment,Kondapur,9791964,"Gym, Solar Water Heater, Home Automation"
140,Elite Gardens,Villa,Beeramguda,13741287,"Clubhouse, Lift, Children's Park"
141,Lakeview Enclave,Villa,Patancheru,19491970,"Lift, Home Automation, Clubhouse"
142,Sunshine Flats,Apartment,Kondapur,6375391,"Garden, CCTV, Security, Parking"
143,Elite Arcade,Commercial,Tukkuguda,7503000,"Power Backup, Clubhouse, CCTV, Swimming Pool, Parking, Garden"
144,Lakeview Square,Commercial,Narsingi,10199664,"Gym, Solar Water Heater, Children's Park"
145,Lakeview Plaza,Commercial,Patancheru,15267384,"Clubhouse, Home Automation, Children's Park, Solar Water Heater, Swimming Pool"
146,Golden Residency,Apartment,Kokapet,13251998,"Parking, Garden, Swimming Pool, Security, CCTV, Children's Park"
147,Green Towers,Apartment,Adibatla,6651255,"Lift, Clubhouse, Swimming Pool"
148,Green Plaza,Commercial,Gachibowli,24769485,"Clubhouse, Security, Lift"
149,Maple Enclave,Villa,Madhapur,14942325,"Home Automation, Children's Park, Clubhouse, Solar Water Heater"
150,Lakeview Flats,Apartment,Beeramguda,4862404,"Security, Lift, Parking"
151,Sunshine Centre,Commercial,Miyapur,20837562,"Children's Park, Power Backup, Gym, Solar Water Heater, Clubhouse"
152,Golden Heights,Apartment,Jubilee Hills,15396492,"Security, Children's Park, Solar Water Heater"
153,Lakeview Centre,Commercial,Madhapur,15492300,"CCTV, Clubhouse, Swimming Pool, Solar Water Heater"
154,Meadow Towers,Apartment,Beeramguda,5102610,"Garden, Children's Park, CCTV, Home Automation, Lift, Gym"
155,Elite Gardens,Villa,Tukkuguda,17159560,"Security, Parking, Lift, Gym, Children's Park"
156,Maple Arcade,Commercial,Jubilee Hills,11441510,"Swimming Pool, Solar Water Heater, Power Backup, Security"
157,Lakeview Plaza,Commercial,Miyapur,26244756,"Security, Swimming Pool, Parking, CCTV, Gym, Solar Water Heater"
158,Maple Flats,Apartment,Gachibowli,13687581,"Children's Park, Lift, Solar Water Heater, Clubhouse, Swimming Pool, Home Automation"
159,Maple Villas,Villa,Kondapur,33295164,"Parking, Swimming Pool, Power Backup, Solar Water Heater"
160,Sunshine Arcade,Commercial,Miyapur,27838532,"Power Backup, Clubhouse, Security"
161,Palm Plaza,Commercial,Bachupally,11887025,"Lift, CCTV, Power Backup, Children's Park"
162,Meadow Villas,Villa,Narsingi,16006554,"Children's Park, CCTV, Home Automation"
163,Maple Residency,Apartment,Jubilee Hills,10249470,"Swimming Pool, Clubhouse, Garden"
164,Golden Heights,Apartment,HITEC City,12346349,"Lift, Swimming Pool, Garden, Home Automation, Children's Park"
165,Skyline Towers,Apartment,Tukkuguda,4766223,"Power Backup, Solar Water Heater, Swimming Pool, Security, CCTV, Clubhouse"
166,Golden Residency,Apartment,Patancheru,8373519,"Garden, Parking, CCTV, Lift, Solar Water Heater"
167,Meadow Residency,Apartment,Miyapur,6437708,"Children's Park, Home Automation, Lift, Solar Water Heater, Power Backup"
168,Lakeview Estates,Villa,Kondapur,13006770,"Lift, Gym, CCTV, Garden, Swimming Pool, Parking"
169,Skyline Plaza,Commercial,Kokapet,20163484,"Power Backup, Lift, Clubhouse"
170,Green Villas,Villa,Patancheru,12351690,"Home Automation, Power Backup, CCTV"
171,Orchid Gardens,Villa,Tukkuguda,21176090,"Clubhouse, Solar Water Heater, Home Automation"
172,Lakeview Gardens,Villa,Jubilee Hills,32930296,"Children's Park, Security, Home Automation, Lift"
173,Palm Gardens,Villa,Jubilee Hills,25017608,"Clubhouse, Lift, Children's Park, Security, Solar Water Heater"
174,Lakeview Plaza,Commercial,Kokapet,28053634,"Security, Home Automation, Clubhouse, Power Backup, Lift"
175,Green Enclave,Villa,Patancheru,10104866,"Gym, Clubhouse, Garden"
176,Orchid Villas,Villa,Miyapur,22291020,"Security, CCTV, Home Automation, Garden, Solar Water Heater, Clubhouse"
177,Sunshine Heights,Apartment,Beeramguda,5100030,"Home Automation, Children's Park, Swimming Pool, Clubhouse, Parking"
178,Green Villas,Villa,Tukkuguda,13053841,"Home Automation, Power Backup, Gym, Children's Park"
179,Meadow Plaza,Commercial,Bachupally,24592216,"Garden, Clubhouse, Swimming Pool, Gym, Security"
180,Sunshine Towers,Apartment,Madhapur,8619840,"CCTV, Parking, Power Backup, Clubhouse"
181,Meadow Centre,Commercial,Tukkuguda,21948016,"Children's Park, Security, Swimming Pool, Gym"
182,Meadow Enclave,Villa,Beeramguda,18996120,"Children's Park, Gym, CCTV, Home Automation, Solar Water Heater, Power Backup"
183,Maple Plaza,Commercial,Narsingi,13927680,"Security, Clubhouse, Gym, Power Backup"
184,Green Arcade,Commercial,Beeramguda,9299688,"Home Automation, Lift, Clubhouse, Security, Solar Water Heater"
185,Maple Towers,Apartment,Adibatla,6772806,"Garden, Lift, Power Backup"
186,Palm Residency,Apartment,Gachibowli,17536240,"CCTV, Swimming Pool, Clubhouse"
187,Golden Gardens,Villa,Kokapet,24351072,"Home Automation, Solar Water Heater, Security"
188,Palm Enclave,Villa,Madhapur,24651768,"Parking, Gym, Home Automation"
189,Palm Plaza,Commercial,Miyapur,30920070,"Swimming Pool, Home Automation, Gym, Solar Water Heater"
190,Sunshine Arcade,Commercial,Miyapur,9492856,"Parking, Solar Water Heater, Security, Lift, Children's Park, Gym"
191,Elite Plaza,Commercial,Bachupally,19829732,"CCTV, Lift, Clubhouse, Solar Water Heater, Home Automation"
192,Orchid Towers,Apartment,Tukkuguda,6559349,"Security, Clubhouse, Parking"
193,Orchid Heights,Apartment,Jubilee Hills,12821906,"Garden, Solar Water Heater, Parking, Security, Lift, CCTV"
194,Lakeview Arcade,Commercial,Kokapet,16429932,"Security, Parking, Lift"
195,Lakeview Gardens,Villa,Gachibowli,19976096,"Gym, Clubhouse, Children's Park, Power Backup, Parking"
196,Green Flats,Apartment,Beeramguda,4916392,"Solar Water Heater, Home Automation, Security, Gym, Children's Park, CCTV"
197,Golden Flats,Apartment,Narsingi,7612524,"Solar Water Heater, CCTV, Swimming Pool, Gym, Lift, Security"
198,Orchid Residency,Apartment,Beeramguda,4428512,"CCTV, Solar Water Heater, Garden, Security, Swimming Pool"
199,Palm Residency,Apartment,Narsingi,8576408,"Parking, Security, Clubhouse, Home Automation, Lift, Solar Water Heater"
200,Lakeview Flats,Apartment,Narsingi,6833306,"Security, Garden, Clubhouse, Swimming Pool"
201,Meadow Residency,Apartment,Patancheru,5157157,"Lift, Garden, Children's Park"
202,Green Square,Commercial,Kokapet,47252890,"Gym, Parking, Clubhouse"
203,Maple Heights,Apartment,Madhapur,8812542,"Gym, CCTV, Parking, Swimming Pool, Lift, Clubhouse"
204,Maple Square,Commercial,Gachibowli,16375701,"Solar Water Heater, Lift, Power Backup, Security, Garden"
205,Sunshine Residency,Apartment,Kondapur,9438930,"Solar Water Heater, Garden, Swimming Pool, Clubhouse, Gym, Parking"
206,Maple Residency,Apartment,Gachibowli,12415214,"Power Backup, Garden, Swimming Pool, Children's Park, Parking, CCTV"
207,Palm Heights,Apartment,Bachupally,8385894,"Lift, Parking, Power Backup, Children's Park, Garden"
208,Skyline Estates,Villa,Beeramguda,11608399,"Gym, Clubhouse, Security, Garden, Parking"
209,Lakeview Towers,Apartment,Kondapur,8045433,"Garden, Home Automation, Swimming Pool, Lift"
210,Maple Heights,Apartment,Jubilee Hills,16984772,"Lift, Garden, Clubhouse, Solar Water Heater"
211,Palm Square,Commercial,Tukkuguda,23359920,"Solar Water Heater, Security, Clubhouse, Lift"
212,Palm Centre,Commercial,Kondapur,19856070,"Power Backup, Lift, Home Automation"
213,Maple Plaza,Commercial,Tukkuguda,10707472,"Power Backup, Gym, Lift, Clubhouse, Swimming Pool"
214,Sunshine Residency,Apartment,Patancheru,7036575,"Children's Park, Swimming Pool, Home Automation, Gym"
215,Sunshine Square,Commercial,Gachibowli,54224478,"Parking, Solar Water Heater, Lift, Power Backup, Gym, Garden"
216,Meadow Residency,Apartment,Beeramguda,6011134,"Swimming Pool, Solar Water Heater, Security"
217,Golden Centre,Commercial,Tukkuguda,19897272,"Garden, CCTV, Clubhouse, Lift, Children's Park"
218,Orchid Gardens,Villa,Kondapur,16356509,"Security, Parking, CCTV, Power Backup, Solar Water Heater, Gym"
219,Lakeview Arcade,Commercial,Gachibowli,16229183,"Gym, Clubhouse, Parking"
220,Skyline Heights,Apartment,HITEC City,13321071,"Solar Water Heater, Garden, CCTV, Swimming Pool, Security"
221,Palm Heights,Apartment,Narsingi,7209486,"Power Backup, Solar Water Heater, Parking"
222,Skyline Centre,Commercial,Jubilee Hills,32930564,"Security, Parking, Solar Water Heater, Home Automation, Clubhouse"
223,Maple Square,Commercial,Jubilee Hills,15471786,"Clubhouse, Home Automation, CCTV, Parking, Swimming Pool, Power Backup"
224,Meadow Villas,Villa,HITEC City,44266122,"Security, Solar Water Heater, CCTV"
225,Elite Flats,Apartment,Gachibowli,12560490,"Home Automation, Swimming Pool, Gym, Parking, Lift"
226,Skyline Plaza,Commercial,Beeramguda,9145372,"CCTV, Lift, Solar Water Heater, Swimming Pool"
227,Skyline Residency,Apartment,Madhapur,10724960,"CCTV, Swimming Pool, Gym"
228,Golden Towers,Apartment,Gachibowli,10846617,"Gym, CCTV, Clubhouse, Children's Park, Swimming Pool, Garden"
229,Meadow Heights,Apartment,Tukkuguda,3975114,"Solar Water Heater, Security, Power Backup, Swimming Pool"
230,Orchid Heights,Apartment,Tukkuguda,4640571,"Solar Water Heater, Clubhouse, Garden, Swimming Pool, Children's Park"
231,Palm Flats,Apartment,Gachibowli,10600200,"Security, Parking, Home Automation"
232,Orchid Towers,Apartment,Kokapet,9465120,"Solar Water Heater, Lift, Security"
233,Green Centre,Commercial,Beeramguda,8309840,"Security, CCTV, Lift, Power Backup, Home Automation"
234,Palm Plaza,Commercial,Beeramguda,14523102,"Solar Water Heater, Garden, Children's Park, Gym, Clubhouse, Parking"
235,Palm Flats,Apartment,Kokapet,11314230,"Security, Solar Water Heater, Children's Park, Home Automation, Gym"
236,Skyline Towers,Apartment,Gachibowli,13252928,"Children's Park, Solar Water Heater, Power Backup, Clubhouse, CCTV"
237,Elite Estates,Villa,Patancheru,17771360,"Security, Home Automation, Lift, Power Backup, Solar Water Heater, Clubhouse"
238,Green Villas,Villa,Patancheru,16778718,"Solar Water Heater, Clubhouse, CCTV"
239,Green Towers,Apartment,Madhapur,6645236,"Clubhouse, Parking, Garden, Gym"
240,Elite Centre,Commercial,Jubilee Hills,25435833,"Lift, Clubhouse, CCTV, Security, Children's Park, Swimming Pool"
241,Elite Flats,Apartment,Tukkuguda,5773320,"Clubhouse, Solar Water Heater, Security, Garden, Parking"
242,Skyline Centre,Commercial,Tukkuguda,7665382,"Parking, Security, Children's Park"
243,Meadow Square,Commercial,Patancheru,14277372,"Lift, CCTV, Security, Garden"
244,Meadow Arcade,Commercial,Patancheru,12219700,"Home Automation, Clubhouse, CCTV, Garden"
245,Palm Enclave,Villa,Tukkuguda,20789256,"Swimming Pool, Parking, CCTV, Garden, Security"
246,Sunshine Centre,Commercial,Gachibowli,10553600,"Garden, Solar Water Heater, Gym"
247,Golden Flats,Apartment,HITEC City,11621562,"Power Backup, Lift, Garden, CCTV, Parking, Gym"
248,Maple Plaza,Commercial,Kondapur,35687802,"Garden, Lift, Solar Water Heater, Gym"
249,Palm Arcade,Commercial,Kokapet,33366850,"Security, Garden, Home Automation, CCTV, Solar Water Heater, Lift"
250,Sunshine Plaza,Commercial,Adibatla,13520913,"Gym, Solar Water Heater, Clubhouse, Power Backup, Children's Park"
251,Maple Centre,Commercial,Kokapet,24475440,"Lift, Parking, Home Automation"
252,Sunshine Centre,Commercial,Adibatla,28975170,"Children's Park, Swimming Pool, Lift, Power Backup, Parking, CCTV"
