id,name,type,location,price,amenities
253,Lakeview Square,Commercial,Patancheru,24302260,"Clubhouse, Security, Parking, Solar Water Heater, Children's Park, Lift"
254,Lakeview Towers,Apartment,Beeramguda,6484257,"Swimming Pool, Children's Park, Clubhouse"
255,Skyline Square,Commercial,Tukkuguda,23302570,"Power Backup, Clubhouse, Swimming Pool, Security, Home Automation, CCTV"
256,Green Enclave,Villa,HITEC City,36325422,"Security, Gym, Home Automation"
257,Golden Enclave,Villa,Kondapur,10756152,"Power Backup, Parking, Home Automation"
258,Palm Arcade,Commercial,Madhapur,12994154,"Garden, Solar Water Heater, Parking, Gym, Swimming Pool, CCTV"
259,Sunshine Heights,Apartment,Narsingi,7944454,"Clubhouse, Security, Lift"
260,Maple Enclave,Villa,Bachupally,23903615,"Power Backup, Garden, Gym, Lift, Solar Water Heater, Children's Park"
261,Skyline Gardens,Villa,Gachibowli,34091442,"Clubhouse, Solar Water Heater, Parking, Power Backup"
262,Maple Residency,Apartment,Patancheru,4109034,"Security, Gym, Home Automation, CCTV, Swimming Pool"
263,Skyline Residency,Apartment,Patancheru,6008224,"Home Automation, Lift, Garden, Parking, Swimming Pool"
264,Elite Gardens,Villa,Adibatla,11276930,"Solar Water Heater, Garden, Swimming Pool, Parking, CCTV"
265,Maple Villas,Villa,Narsingi,16133347,"Gym, Garden, Security, Children's Park, Parking, Clubhouse"
266,Sunshine Plaza,Commercial,Bachupally,6049008,"Children's Park, CCTV, Clubhouse, Garden, Solar Water Heater"
267,Golden Enclave,Villa,Kokapet,40214652,"Parking, Garden, Power Backup, Gym, Security"
268,Golden Residency,Apartment,HITEC City,15087120,"Children's Park, Swimming Pool, Power Backup, Lift"
269,Palm Towers,Apartment,Adibatla,7518096,"Solar Water Heater, Parking, Swimming Pool, Garden"
270,Lakeview Plaza,Commercial,Jubilee Hills,20009493,"Power Backup, CCTV, Security, Children's Park, Home Automation"
271,Green Square,Commercial,Adibatla,19415040,"Home Automation, Swimming Pool, Security"
272,Lakeview Towers,Apartment,Patancheru,6491232,"Children's Park, Home Automation, CCTV, Garden, Parking, Security"
273,Sunshine Square,Commercial,Madhapur,29229937,"Gym, Home Automation, Power Backup, Lift, Swimming Pool, Children's Park"
274,Orchid Enclave,Villa,Adibatla,18063204,"Gym, CCTV, Swimming Pool"
275,Green Villas,Villa,Kokapet,23166858,"Swimming Pool, CCTV, Garden, Solar Water Heater"
276,Sunshine Residency,Apartment,Bachupally,10866051,"Power Backup, Swimming Pool, Clubhouse, CCTV"
277,Maple Square,Commercial,Beeramguda,23244355,"Parking, Power Backup, Garden"
278,Orchid Estates,Villa,Gachibowli,22138515,"Solar Water Heater, Swimming Pool, Garden, CCTV, Gym"
279,Elite Plaza,Commercial,Miyapur,23781582,"Children's Park, Gym, CCTV, Solar Water Heater"
280,Maple Arcade,Commercial,Gachibowli,11499960,"Power Backup, CCTV, Home Automation, Gym"
281,Palm Enclave,Villa,Bachupally,13640150,"Lift, Power Backup, Solar Water Heater, CCTV, Home Automation"
282,Lakeview Arcade,Commercial,Madhapur,24431628,"Power Backup, Children's Park, Solar Water Heater, Clubhouse"
283,Maple Heights,Apartment,Kokapet,9436710,"Gym, Security, Lift"
284,Sunshine Gardens,Villa,Jubilee Hills,34809525,"Garden, Power Backup, Home Automation, Security"
285,Palm Plaza,Commercial,Gachibowli,26141103,"Swimming Pool, Power Backup, Solar Water Heater, Lift, Gym, Home Automation"
286,Sunshine Towers,Apartment,Jubilee Hills,15909621,"Swimming Pool, Gym, Home Automation, Security, Garden"
287,Skyline Enclave,Villa,Kondapur,18065160,"Security, Clubhouse, Solar Water Heater, Lift, Swimming Pool"
288,Elite Residency,Apartment,Jubilee Hills,11736816,"Children's Park, Solar Water Heater, Gym, Lift, CCTV, Parking"
289,Green Square,Commercial,HITEC City,27066110,"Children's Park, Garden, Home Automation, Solar Water Heater"
290,Sunshine Estates,Villa,Kondapur,24210736,"Security, Gym, Children's Park, Solar Water Heater"
291,Skyline Towers,Apartment,Jubilee Hills,14420829,"Lift, Solar Water Heater, Gym, Home Automation, Security, Swimming Pool"
292,Golden Arcade,Commercial,Beeramguda,7371192,"Lift, Children's Park, CCTV, Swimming Pool, Security"
293,Orchid Enclave,Villa,Beeramguda,15578520,"Home Automation, Lift, Solar Water Heater, Clubhouse, Gym"
294,Green Plaza,Commercial,Madhapur,21885690,"Gym, Home Automation, Clubhouse, Swimming Pool, CCTV"
295,Elite Plaza,Commercial,Bachupally,20508450,"Home Automation, CCTV, Swimming Pool"
296,Palm Estates,Villa,Kondapur,23989922,"Solar Water Heater, Garden, Power Backup, Parking, Lift"
297,Orchid Heights,Apartment,HITEC City,11133139,"Swimming Pool, Parking, Gym, Security"
298,Golden Enclave,Villa,Beeramguda,16495824,"CCTV, Parking, Children's Park"
299,Golden Plaza,Commercial,Tukkuguda,6080319,"Swimming Pool, Power Backup, Security"
300,Green Villas,Villa,Kondapur,19472340,"Parking, Children's Park, Swimming Pool"
301,Golden Heights,Apartment,Kondapur,4632695,"Solar Water Heater, CCTV, Parking, Swimming Pool"
302,Maple Enclave,Villa,Kondapur,23709244,"Parking, Security, Home Automation"
303,Orchid Plaza,Commercial,Gachibowli,60596250,"Home Automation, Power Backup, Solar Water Heater, Children's Park, Gym"
304,Orchid Gardens,Villa,Jubilee Hills,49547400,"Security, Garden, Power Backup"
305,Elite Residency,Apartment,Beeramguda,8166604,"Security, Children's Park, Lift, Clubhouse"
306,Meadow Heights,Apartment,Jubilee Hills,14136318,"Home Automation, Security, Swimming Pool, Garden, Power Backup"
307,Golden Gardens,Villa,Gachibowli,32270148,"Swimming Pool, Children's Park, Security, CCTV, Lift, Parking"
308,Green Villas,Villa,Jubilee Hills,40669720,"Power Backup, Home Automation, Children's Park, Lift"
309,Green Towers,Apartment,Tukkuguda,6472438,"Home Automation, CCTV, Parking, Swimming Pool, Gym"
310,Maple Centre,Commercial,Kondapur,8368206,"Garden, Gym, Swimming Pool, CCTV"
311,Elite Heights,Apartment,Patancheru,7043064,"Swimming Pool, Power Backup, CCTV, Lift, Clubhouse"
312,Orchid Towers,Apartment,Adibatla,6546214,"Power Backup, CCTV, Clubhouse"
313,Meadow Enclave,Villa,Bachupally,21625800,"Parking, Security, Children's Park, Clubhouse, Garden, Solar Water Heater"
314,Meadow Enclave,Villa,HITEC City,21846776,"Home Automation, Swimming Pool, Security, Power Backup, Children's Park, CCTV"
315,Lakeview Towers,Apartment,Jubilee Hills,13046556,"CCTV, Security, Home Automation"
316,Elite Arcade,Commercial,Kokapet,40236819,"Children's Park, Swimming Pool, Home Automation, CCTV"
317,Golden Towers,Apartment,Bachupally,8727948,"CCTV, Clubhouse, Security, Gym"
318,Green Heights,Apartment,Madhapur,6378229,"Children's Park, Swimming Pool, Security"
319,Maple Arcade,Commercial,Miyapur,9022026,"Lift, Solar Water Heater, Clubhouse, Parking, Home Automation, Children's Park"
320,Orchid Square,Commercial,Gachibowli,32915600,"Lift, Gym, Swimming Pool, CCTV"
321,Palm Gardens,Villa,Tukkuguda,9940373,"Home Automation, Children's Park, Lift, Swimming Pool"
322,Meadow Residency,Apartment,Gachibowli,10711512,"Power Backup, Gym, Garden, CCTV"
323,Skyline Square,Commercial,Narsingi,12091072,"Power Backup, Lift, Gym, Garden, CCTV, Children's Park"
324,Lakeview Square,Commercial,Madhapur,13999960,"Garden, Children's Park, Lift, Solar Water Heater"
325,Maple Estates,Villa,Adibatla,22269150,"Parking, Security, Swimming Pool, CCTV, Power Backup, Solar Water Heater"
326,Meadow Enclave,Villa,Narsingi,27398458,"Garden, Swimming Pool, Security, Clubhouse, Children's Park, Parking"
327,Skyline Centre,Commercial,Tukkuguda,6782856,"Parking, Security, CCTV"
328,Skyline Towers,Apartment,Miyapur,8222780,"Power Backup, Solar Water Heater, Lift, Gym, Clubhouse"
329,Meadow Villas,Villa,Tukkuguda,16679919,"Parking, Home Automation, Lift, Security, Solar Water Heater"
330,Golden Plaza,Commercial,Miyapur,16035201,"Solar Water Heater, Parking, Clubhouse, Power Backup"
331,Maple Square,Commercial,Jubilee Hills,52752720,"CCTV, Children's Park, Parking"
332,Maple Residency,Apartment,HITEC City,14991080,"Garden, Gym, Children's Park"
333,Maple Gardens,Villa,Kokapet,28892372,"Solar Water Heater, Clubhouse, Children's Park, Power Backup"
334,Meadow Plaza,Commercial,HITEC City,22506834,"Swimming Pool, Children's Park, Power Backup, Lift, Home Automation, Garden"
335,Meadow Square,Commercial,Bachupally,15831300,"Parking, Clubhouse, Lift, Swimming Pool, Security, Children's Park"
336,Skyline Arcade,Commercial,Patancheru,24408147,"Security, Garden, Solar Water Heater, Gym, Swimming Pool, Power Backup"
337,Palm Enclave,Villa,Jubilee Hills,39290670,"Gym, Solar Water Heater, CCTV, Security, Swimming Pool"
338,Skyline Towers,Apartment,Narsingi,7412412,"Home Automation, Swimming Pool, CCTV, Security"
339,Meadow Gardens,Villa,Tukkuguda,19120710,"CCTV, Garden, Parking, Security, Power Backup, Solar Water Heater"
340,Skyline Centre,Commercial,Narsingi,12795264,"Parking, Home Automation, Security, Clubhouse, Swimming Pool, Lift"
341,Green Enclave,Villa,Madhapur,16030350,"Clubhouse, Security, CCTV, Swimming Pool, Garden"
342,Maple Enclave,Villa,Narsingi,17420592,"Lift, Power Backup, Children's Park"
343,Palm Gardens,Villa,Jubilee Hills,24469566,"CCTV, Clubhouse, Security"
344,Palm Villas,Villa,Miyapur,19308705,"Swimming Pool, Power Backup, Home Automation, Gym, CCTV"
345,Sunshine Heights,Apartment,Bachupally,9374900,"Gym, Security, Clubhouse"
346,Green Estates,Villa,Tukkuguda,16575980,"CCTV, Parking, Children's Park, Security, Gym"
347,Lakeview Gardens,Villa,Gachibowli,39960999,"Security, Power Backup, CCTV"
348,Green Villas,Villa,Adibatla,20073708,"Clubhouse, Lift, Home Automation, Solar Water Heater, Swimming Pool, Power Backup"
349,Orchid Square,Commercial,Gachibowli,14556080,"Clubhouse, Garden, Power Backup, Solar Water Heater, CCTV, Security"
350,Sunshine Enclave,Villa,HITEC City,29444048,"Power Backup, Clubhouse, Security"
351,Meadow Residency,Apartment,Patancheru,5232810,"Solar Water Heater, Lift, Parking, Home Automation, Security"
352,Palm Flats,Apartment,Beeramguda,4693923,"Clubhouse, Gym, Lift, Solar Water Heater"
353,Elite Towers,Apartment,Kondapur,9038120,"Garden, CCTV, Solar Water Heater"
354,Palm Towers,Apartment,Kondapur,8953738,"Clubhouse, Solar Water Heater, CCTV, Gym, Garden, Swimming Pool"
355,Elite Enclave,Villa,Narsingi,19238373,"CCTV, Parking, Solar Water Heater, Children's Park"
356,Sunshine Flats,Apartment,Madhapur,7119940,"Home Automation, Gym, Clubhouse, Security, Parking, Children's Park"
357,Skyline Enclave,Villa,Madhapur,23497920,"Clubhouse, Home Automation, Security"
358,Skyline Villas,Villa,Kokapet,40652096,"Clubhouse, Swimming Pool, Security"
359,Green Villas,Villa,Narsingi,18842921,"Security, Lift, Power Backup, Gym, Swimming Pool, Garden"
360,Golden Towers,Apartment,Jubilee Hills,12534768,"Swimming Pool, Garden, Home Automation, Power Backup, Gym, Lift"
361,Orchid Centre,Commercial,Kondapur,25875250,"Lift, Security, Home Automation"
362,Green Arcade,Commercial,Madhapur,7996800,"Home Automation, Clubhouse, Gym, Power Backup"
363,Elite Centre,Commercial,Jubilee Hills,27247907,"Home Automation, Children's Park, Clubhouse, CCTV"
364,Green Arcade,Commercial,Miyapur,21515655,"Children's Park, Home Automation, Gym, Power Backup, Parking"
365,Sunshine Estates,Villa,Jubilee Hills,33622044,"Security, CCTV, Gym, Swimming Pool, Garden"
366,Elite Estates,Villa,Madhapur,23862699,"Power Backup, Children's Park, Lift, Solar Water Heater"
367,Skyline Flats,Apartment,Kokapet,17671729,"Solar Water Heater, Children's Park, Security, Garden, Gym"
368,Lakeview Plaza,Commercial,Patancheru,25156656,"Lift, Parking, Home Automation, Garden"
369,Meadow Square,Commercial,Gachibowli,38988123,"Home Automation, Parking, Gym, Clubhouse, CCTV"
370,Orchid Arcade,Commercial,Kokapet,59101547,"Gym, Lift, Children's Park, Solar Water Heater, Parking"
371,Palm Flats,Apartment,Bachupally,6905700,"Home Automation, Children's Park, Parking, Lift, Solar Water Heater"
372,Lakeview Enclave,Villa,Adibatla,12432213,"Lift, Children's Park, Power Backup, Parking, Home Automation, CCTV"
373,Golden Flats,Apartment,Gachibowli,12514254,"Security, Parking, Swimming Pool, Power Backup, Clubhouse, Solar Water Heater"
374,Meadow Plaza,Commercial,Madhapur,24232572,"Solar Water Heater, Security, Lift"
375,Skyline Estates,Villa,Gachibowli,47752060,"Solar Water Heater, Swimming Pool, Gym"
376,Lakeview Centre,Commercial,Kondapur,8848476,"Solar Water Heater, Power Backup, Lift"
377,Elite Centre,Commercial,Madhapur,32470592,"Security, Parking, Lift, CCTV"
378,Lakeview Arcade,Commercial,Kondapur,8689232,"Clubhouse, Lift, Security, Gym, Parking, Children's Park"
379,Lakeview Estates,Villa,Bachupally,22100721,"Garden, Security, Solar Water Heater, CCTV, Parking"
380,Palm Gardens,Villa,Madhapur,17902227,"Security, Power Backup, Garden"
381,Elite Towers,Apartment,Madhapur,9385038,"Power Backup, Swimming Pool, Parking, Lift"
382,Green Centre,Commercial,HITEC City,42675600,"Gym, CCTV, Clubhouse, Lift, Swimming Pool, Parking"
383,Meadow Enclave,Villa,Madhapur,23271302,"CCTV, Parking, Children's Park, Security"
384,Lakeview Residency,Apartment,HITEC City,10898496,"Security, CCTV, Parking, Home Automation, Clubhouse, Gym"
385,Skyline Villas,Villa,HITEC City,25504680,"Children's Park, Garden, Clubhouse, Security, Gym"
386,Green Arcade,Commercial,Miyapur,31016464,"Security, Solar Water Heater, Children's Park, Lift"
387,Elite Square,Commercial,Miyapur,28864556,"Lift, Home Automation, Power Backup, Clubhouse, Solar Water Heater"
388,Orchid Villas,Villa,Kondapur,19882410,"Swimming Pool, CCTV, Power Backup"
389,Sunshine Estates,Villa,Madhapur,21146390,"Lift, Power Backup, Gym, Solar Water Heater"
390,Skyline Flats,Apartment,Patancheru,5744984,"Swimming Pool, Lift, Gym, Garden, Home Automation"
391,Sunshine Heights,Apartment,HITEC City,10191104,"Home Automation, Solar Water Heater, Power Backup"
392,Meadow Residency,Apartment,Beeramguda,6520074,"Lift, Power Backup, Swimming Pool"
393,Meadow Enclave,Villa,Kokapet,26034804,"Home Automation, Clubhouse, Power Backup, Parking, Lift"
394,Sunshine Heights,Apartment,Beeramguda,5574700,"Children's Park, Parking, Swimming Pool, Clubhouse, Security, Garden"
395,Meadow Enclave,Villa,HITEC City,46222637,"Power Backup, Home Automation, Security, CCTV, Lift"
396,Palm Arcade,Commercial,Kondapur,18585360,"Lift, Solar Water Heater, Parking, Children's Park, Garden"
397,Green Square,Commercial,Gachibowli,14328280,"Swimming Pool, Garden, Clubhouse"
398,Maple Gardens,Villa,Narsingi,16205320,"Solar Water Heater, Lift, Home Automation, Garden, CCTV"
399,Maple Flats,Apartment,Beeramguda,5494968,"CCTV, Swimming Pool, Lift, Home Automation, Gym"
400,Sunshine Residency,Apartment,Beeramguda,7989670,"CCTV, Parking, Solar Water Heater, Children's Park, Garden, Lift"
401,Golden Square,Commercial,Beeramguda,19858862,"CCTV, Solar Water Heater, Garden, Clubhouse, Lift"
402,Golden Flats,Apartment,Patancheru,5270837,"Parking, Solar Water Heater, Swimming Pool"
403,Palm Villas,Villa,Bachupally,21060018,"Power Backup, Solar Water Heater, Lift, Clubhouse"
404,Palm Estates,Villa,Jubilee Hills,44236725,"Garden, Clubhouse, Children's Park, Security, Swimming Pool"
405,Elite Square,Commercial,Jubilee Hills,17483455,"Lift, Clubhouse, Swimming Pool, Gym"
406,Skyline Gardens,Villa,Miyapur,17101014,"Gym, Swimming Pool, CCTV, Children's Park, Garden, Solar Water Heater"
407,Lakeview Flats,Apartment,HITEC City,10207494,"Clubhouse, Home Automation, Parking"
408,Elite Heights,Apartment,Tukkuguda,5258362,"Security, Gym, CCTV"
409,Golden Estates,Villa,Kondapur,27908400,"Parking, Security, Garden, Power Backup"
410,Palm Villas,Villa,Tukkuguda,15827610,"Clubhouse, Garden, Children's Park, Gym, Power Backup, Parking"
411,Orchid Estates,Villa,Gachibowli,22066440,"Home Automation, Gym, Children's Park, Security"
412,Maple Villas,Villa,Gachibowli,40686008,"Garden, Parking, Clubhouse"
413,Golden Arcade,Commercial,Bachupally,18348148,"Children's Park, Power Backup, Lift, Home Automation"
414,Golden Heights,Apartment,Jubilee Hills,16921600,"Security, CCTV, Lift, Clubhouse, Power Backup"
415,Orchid Heights,Apartment,HITEC City,15239268,"Home Automation, Security, CCTV, Garden, Solar Water Heater"
416,Meadow Enclave,Villa,Madhapur,13295394,"Solar Water Heater, Garden, Security, Lift, Power Backup"
417,Palm Flats,Apartment,Kondapur,10388565,"Solar Water Heater, Security, Gym"
418,Orchid Estates,Villa,Gachibowli,29671290,"Solar Water Heater, Power Backup, Home Automation, Gym, Parking"
419,Maple Square,Commercial,Narsingi,29114650,"Security, Children's Park, Solar Water Heater, Power Backup, Swimming Pool"
420,Lakeview Residency,Apartment,Miyapur,5552370,"Parking, Children's Park, Garden, Gym, Home Automation, Security"
421,Meadow Villas,Villa,Adibatla,14453604,"Swimming Pool, CCTV, Lift, Home Automation, Solar Water Heater"
422,Lakeview Towers,Apartment,HITEC City,12512095,"Security, Home Automation, Children's Park, Clubhouse"
423,Golden Towers,Apartment,Beeramguda,6015624,"Gym, Home Automation, Parking, Swimming Pool, Security"
424,Palm Enclave,Villa,Gachibowli,20258425,"Gym, Children's Park, Garden"
425,Maple Residency,Apartment,Madhapur,10906500,"Clubhouse, Solar Water Heater, Security, Lift, CCTV, Power Backup"
426,Sunshine Villas,Villa,Adibatla,12606451,"CCTV, Solar Water Heater, Swimming Pool"
427,Elite Towers,Apartment,Beeramguda,4530015,"Swimming Pool, Gym, CCTV, Power Backup, Children's Park"
428,Green Enclave,Villa,Tukkuguda,11602668,"Clubhouse, Security, Children's Park, Home Automation"
429,Skyline Flats,Apartment,Beeramguda,5518968,"Lift, Security, Home Automation, Clubhouse, Power Backup"
430,Meadow Square,Commercial,Patancheru,8558480,"Home Automation, Swimming Pool, Children's Park"
431,Green Villas,Villa,Gachibowli,35003166,"Home Automation, Swimming Pool, Garden"
432,Green Centre,Commercial,Miyapur,16719640,"Power Backup, CCTV, Garden, Home Automation"
433,Sunshine Towers,Apartment,Kokapet,11156971,"Home Automation, Power Backup, Children's Park, Parking, Swimming Pool"
434,Sunshine Heights,Apartment,Miyapur,8471848,"Parking, Swimming Pool, Solar Water Heater, Clubhouse"
435,Lakeview Flats,Apartment,Gachibowli,12213880,"Solar Water Heater, Home Automation, Lift, Security"
436,Maple Towers,Apartment,Kondapur,8245884,"Power Backup, Gym, CCTV, Swimming Pool"
437,Golden Centre,Commercial,Kondapur,17289840,"Garden, Swimming Pool, Security, Solar Water Heater, Children's Park, Gym"
438,Golden Towers,Apartment,Tukkuguda,7021175,"Solar Water Heater, Home Automation, Children's Park, Power Backup"
439,Skyline Plaza,Commercial,Miyapur,29650057,"Security, Lift, Home Automation, Clubhouse, Swimming Pool, Gym"
440,Maple Arcade,Commercial,Jubilee Hills,25885860,"CCTV, Parking, Lift, Clubhouse"
441,Lakeview Centre,Commercial,Kokapet,29444156,"CCTV, Clubhouse, Power Backup, Security, Garden, Swimming Pool"
442,Lakeview Arcade,Commercial,Jubilee Hills,20427330,"Parking, Security, Lift, Power Backup"
443,Golden Gardens,Villa,Tukkuguda,13896015,"Swimming Pool, Home Automation, Security, Garden"
444,Orchid Arcade,Commercial,Narsingi,31866192,"Solar Water Heater, Children's Park, Garden, Power Backup, Security, Gym"
445,Orchid Arcade,Commercial,Gachibowli,42224975,"Swimming Pool, Parking, Gym, Power Backup"
446,Green Arcade,Commercial,Gachibowli,41788516,"Clubhouse, Home Automation, Garden, Children's Park, Swimming Pool"
447,Golden Heights,Apartment,Gachibowli,11750154,"Clubhouse, Garden, Children's Park"
448,Skyline Estates,Villa,Gachibowli,34563960,"Security, Garden, Swimming Pool, Gym, Clubhouse"
449,Green Plaza,Commercial,Kokapet,29801280,"CCTV, Swimming Pool, Solar Water Heater"
450,Meadow Estates,Villa,Beeramguda,12124496,"Solar Water Heater, Parking, Clubhouse, Children's Park"
451,Sunshine Square,Commercial,Bachupally,36912874,"Power Backup, Home Automation, Security"
452,Sunshine Square,Commercial,Narsingi,21540718,"Solar Water Heater, Clubhouse, Lift, Security"
453,Palm Heights,Apartment,Beeramguda,7154152,"Swimming Pool, Lift, Parking, Clubhouse, Power Backup"
454,Green Estates,Villa,Madhapur,17485814,"Solar Water Heater, Swimming Pool, Clubhouse"
455,Sunshine Villas,Villa,Patancheru,10590258,"Parking, Garden, Home Automation, Security, Clubhouse, Lift"
456,Meadow Centre,Commercial,Jubilee Hills,15663239,"CCTV, Garden, Clubhouse, Security, Swimming Pool"
457,Lakeview Gardens,Villa,Beeramguda,18453280,"Power Backup, CCTV, Home Automation, Gym, Swimming Pool"
458,Skyline Estates,Villa,Gachibowli,21978810,"Clubhouse, Children's Park, Swimming Pool, Power Backup"
459,Maple Towers,Apartment,Madhapur,11040489,"Security, Power Backup, Gym, Parking"
460,Sunshine Centre,Commercial,Adibatla,16684743,"Swimming Pool, Children's Park, Parking"
461,Maple Estates,Villa,Tukkuguda,18062655,"Lift, Garden, Security"
462,Skyline Flats,Apartment,Madhapur,6853535,"Solar Water Heater, Children's Park, CCTV, Security, Parking"
463,Lakeview Estates,Villa,Jubilee Hills,36440160,"Gym, Solar Water Heater, CCTV"
464,Lakeview Heights,Apartment,Adibatla,4808208,"Clubhouse, Security, Swimming Pool"
465,Sunshine Centre,Commercial,Kokapet,15111096,"Parking, Clubhouse, Security"
466,Skyline Estates,Villa,Beeramguda,11760796,"Gym, CCTV, Swimming Pool, Parking, Garden, Solar Water Heater"
467,Elite Heights,Apartment,Beeramguda,4745193,"Security, Solar Water Heater, Power Backup, Clubhouse, Home Automation"
468,Palm Centre,Commercial,Beeramguda,12314192,"Parking, CCTV, Solar Water Heater"
469,Lakeview Flats,Apartment,Narsingi,6844807,"Lift, Swimming Pool, Solar Water Heater, Parking"
470,Lakeview Residency,Apartment,Beeramguda,7908492,"Home Automation, Garden, Gym, Clubhouse, Lift"
471,Green Square,Commercial,Beeramguda,5954472,"Lift, Home Automation, Security, Gym, Swimming Pool"
472,Skyline Centre,Commercial,Kokapet,18720625,"Parking, Gym, Security, Lift, Swimming Pool, Home Automation"
473,Meadow Villas,Villa,Beeramguda,11484468,"Garden, Solar Water Heater, Gym"
474,Lakeview Enclave,Villa,Kondapur,18706698,"Garden, Swimming Pool, Gym, Security"
475,Palm Plaza,Commercial,HITEC City,13915980,"Lift, Clubhouse, CCTV, Power Backup, Security"
476,Orchid Enclave,Villa,Narsingi,23045763,"Security, Parking, Garden"
477,Meadow Heights,Apartment,Gachibowli,10993840,"Home Automation, CCTV, Security, Gym, Children's Park, Solar Water Heater"
478,Meadow Villas,Villa,Kokapet,33740000,"Home Automation, Parking, Swimming Pool, Solar Water Heater, Garden"
479,Maple Square,Commercial,HITEC City,42942019,"CCTV, Children's Park, Swimming Pool, Clubhouse"
480,Sunshine Centre,Commercial,Kondapur,37665591,"Home Automation, Solar Water Heater, Parking, Lift, Power Backup"
481,Golden Villas,Villa,HITEC City,44244720,"Children's Park, CCTV, Lift"
482,Orchid Residency,Apartment,Tukkuguda,5153120,"CCTV, Solar Water Heater, Power Backup, Security, Clubhouse"
483,Lakeview Flats,Apartment,Kondapur,8322553,"Gym, Home Automation, Lift, Children's Park, Power Backup, Clubhouse"
484,Sunshine Heights,Apartment,Bachupally,8516040,"Parking, Power Backup, Clubhouse, CCTV, Gym, Lift"
485,Palm Heights,Apartment,Patancheru,5926267,"Garden, Power Backup, Solar Water Heater, Home Automation, Gym, Clubhouse"
486,Golden Square,Commercial,Kokapet,39420966,"Security, Lift, Garden, CCTV"
487,Palm Heights,Apartment,Tukkuguda,6151314,"Home Automation, CCTV, Solar Water Heater, Security, Swimming Pool, Children's Park"
488,Golden Estates,Villa,Madhapur,16391970,"Parking, Swimming Pool, Garden, Home Automation, Clubhouse"
489,Palm Gardens,Villa,Patancheru,21497908,"Security, Power Backup, Children's Park, Lift"
490,Lakeview Towers,Apartment,Jubilee Hills,16708263,"Children's Park, Power Backup, CCTV, Solar Water Heater, Parking"
491,Lakeview Arcade,Commercial,HITEC City,15335560,"Security, Lift, Parking, Garden, Solar Water Heater, Gym"
492,Elite Gardens,Villa,Miyapur,19131228,"Power Backup, Solar Water Heater, Gym, Lift"
493,Maple Towers,Apartment,Beeramguda,3906184,"Security, Solar Water Heater, Clubhouse"
494,Meadow Towers,Apartment,Beeramguda,4885463,"Gym, Swimming Pool, Power Backup"
495,Skyline Residency,Apartment,Adibatla,7760545,"Lift, Power Backup, Children's Park, Gym, CCTV, Solar Water Heater"
496,Meadow Estates,Villa,Bachupally,21683200,"Security, Children's Park, Solar Water Heater, Home Automation, Garden"
497,Golden Enclave,Villa,Patancheru,11076172,"Home Automation, Gym, Garden, Lift"
498,Golden Villas,Villa,Adibatla,19086097,"CCTV, Gym, Security, Parking, Lift"
499,Lakeview Square,Commercial,Gachibowli,41327685,"Power Backup, Clubhouse, Garden, Children's Park, Home Automation, CCTV"
500,Maple Towers,Apartment,Tukkuguda,6028074,"Children's Park, Home Automation, CCTV"
501,Green Arcade,Commercial,HITEC City,12231120,"Solar Water Heater, Clubhouse, Parking, Security, Garden, Home Automation"
